,,,,,,,,,,,,,,,NSE,NSE,,,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ,,,
,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs.,Rs.,,,
,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-10,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Apr-11,Jul-11,Jul-12,,,
Company Name,Net cash flow due to net changes in cash and cash equivalents,Depreciation (net of transfer from revaluation reserves),Amortisation,Current assets,Current liabilities,Short term bank borrowings,Corporate tax,Net cash flow due to net changes in cash and cash equivalents,Depreciation (net of transfer from revaluation reserves),Amortisation,Current assets,Current liabilities,Short term bank borrowings,Corporate tax,Adjusted Closing Price ,Adjusted Closing Price ,ACCRUALS,Return,NET PROFIT
Oil & Natural Gas Corpn. Ltd.,-8651.7,97728.2,,268849,284882.4,,71180,29714.7,122719.8,,235343.5,188133,0,81200,269.25,286.05,157617.3,0.06239554318,-0.1013496409
Mahanagar Telephone Nigam Ltd.,725.9,17594.9,,118858.8,170944.5,,,-47352.5,14101.5,,44682.5,56008.3,49017.1,,47.25,30.4,151956.9,-0.3566137566,
Housing Development Finance Corpn. Ltd.,35290.2,155.1,,57754.9,26561.6,16838.2,10910,9047.6,167.6,24.4,67390.2,35790.1,137554.8,13510,689,691.15,150158,0.003120464441,
Bank Of Baroda,113799.4,2308.6,,385207.9,79096,1081.9,13199.8,144670.1,2430.4,3659.8,532443.1,64688.6,1144.9,16529.1,175.75,131.22,140254.4,-0.253371266,
H D F C Bank Ltd.,124357.8,3943.9,,327579.7,191676.7,14253.3,13656.7,-2735.7,4974,,405932.5,266053.9,7050.6,22374.6,486.8,587.75,137558.3,0.2073746919,
Bank Of India,94688.7,1012.9,,342631.7,80003.1,917.8,5045.4,60798.6,1405.6,,466900.2,122682.7,1784.1,8693.1,386.1,297.9,121398.6,-0.2284382284,
Piramal Enterprises Ltd.,-18.3,922.2,,6340.3,3613.2,3109.6,828,16501.2,554,,99156.9,8124.5,470.7,36732.7,381.8,516.9,105605.6,0.3538501833,
N M D C Ltd.,31152.9,715.6,34.6,137460.3,8676,,17420,-4948.6,1203.5,44.5,185269.3,7718.7,,32182,239.95,187.3,100877.8,-0.2194207126,
