"","pNet cash flow due to net changes in cash and cash equivalents","pDepreciation (net of transfer from revaluation reserves)","pAmortisation","pCurrent assets","pCurrent liabilities","pShort term bank borrowings","pCorporate tax","cNet cash flow due to net changes in cash and cash equivalents","cDepreciation (net of transfer from revaluation reserves)","cAmortisation","cCurrent assets","cCurrent liabilities","cShort term bank borrowings","cCorporate tax","cAdjusted Closing Price ","fAdjusted Closing Price ","nACCRUALS","nRETUERNS","nPROFIT","Accrual"
"Steel Authority Of India Ltd.",-49585.1,14822,0,354458,122726.2,41523.1,23673.8,-3317.2,15636.4,0,271934.9,127394.9,1187.1,15010.3,85.8,41.7,-198095.6,-0.513986014,0,-198095.6
"Hindustan Petroleum Corpn. Ltd.",-1641.6,14069.5,1.9,256137.3,180997.4,66926.8,4171.1,1473.6,17129.3,1.8,333150.4,230869.3,9920.6,3966.5,343.7,211.65,-50315.9,-0.3842013384,0,-50315.9
"I C I C I Bank Ltd.",-47836.1,5624.3,0,429589.3,126918.9,37229.8,21381.1,21392.3,5245.3,0,640035.3,293967,18815.6,21874.2,192.28,181.81,-48996.9,-0.05445184107,0,-48996.8999999999
"Rural Electrification Corpn. Ltd.",14415.8,30.3,0,111276.7,31327,3750,9081.2,24795.9,32.7,142.5,62379.4,35213.5,25000,9745.9,188.45,158.5,-41424.4,-0.1589280976,0,-41424.4
"Hindalco Industries Ltd.",931.2,6879.4,0,94210.1,54253.6,28880.1,5665.2,4886.7,6926.3,0,102920.6,66099.5,7923.5,5626.8,120.1,90.1,-35012.2,-0.2497918401,0,-35012.2
"J S W Steel Ltd.",1620.6,13787.1,0,70928.6,96673.3,3342.4,5783.4,1787.9,17081.7,0,97831.6,127933.3,1628.9,4023.9,668.1,565.9,-25079,-0.1529711121,0,-25079
"Reliance Communications Ltd.",37320,15950,0,73670,44010,85500,0,-36360,17410,0,43990,38060,29000,0,56.1,139.6,-23960,1.488413547,0,-23960
"Bharti Airtel Ltd.",-2141,46116,0,35530,133996,19844,17328,2268,59160,0,46895,125977,43697,14507,300.05,344.5,-23153,0.1481419763,0,-23153
"J S W Energy Ltd.",-6816.9,2116.1,0,19941.9,12056.7,2,2171.4,-2197.3,3772.2,0,21597.3,26778.4,0,589.8,49.8,41.7,-23041.7,-0.1626506024,0,-23041.7
"Power Grid Corpn. Of India Ltd.",4024.2,21993.9,18.6,84125.3,92898.8,14500,6800.2,-13431.8,25815.3,17.9,75418.3,102396.2,16500,8911,118.95,101.1,-22470.8,-0.1500630517,0,-22470.8
