"","pNet cash flow due to net changes in cash and cash equivalents","pDepreciation (net of transfer from revaluation reserves)","pAmortisation","pCurrent assets","pCurrent liabilities","pShort term bank borrowings","pCorporate tax","cNet cash flow due to net changes in cash and cash equivalents","cDepreciation (net of transfer from revaluation reserves)","cAmortisation","cCurrent assets","cCurrent liabilities","cShort term bank borrowings","cCorporate tax","cAdjusted Closing Price ","fAdjusted Closing Price ","nACCRUALS","nReturns","nNET PROFIT","Accrual"
"State Bank Of India",-279280.9,10071.7,1000,1418547.2,704271,50481,63353.7,164021,11396.1,1000,1571785.3,896722.7,56488.5,59510.6,170.84,243.93,-467955,0.4278272067,0,-492747.2
"Housing Development Finance Corpn. Ltd.",0,181.2,24.2,68562.4,52745.3,143299.4,15550,8204.6,235.9,0,67141.1,79703.5,35442.7,17276.8,800.45,1068.4,-142478.1,0.3347492036,0,-142949.9
"Bharti Airtel Ltd.",2268,59160,0,46895,125977,43697,14507,-269,68267,0,48219,158829,8400,13669,344.5,372.9,3141,0.0824383164,0,-133393
"H D F C Bank Ltd.",-87562.7,5425.2,0,380737.1,339132.7,8693.3,26062.5,63381.7,6516.7,0,399782.8,304396.9,7246.8,32757.6,609.75,834,-85397.6,0.3677736777,0,-98431
"Adani Power Ltd.",-1249.7,5606.4,0,49827.9,20437,62580.4,0,0,10165.9,0,39561.9,36900.4,25133.8,0,35.05,56.6,-55259.8,0.6148359486,0,-75591.6
"Axis Bank Ltd.",-74747.4,3422.4,0,192709,70336.7,285,22562.3,65010.4,3517.3,0,260997.1,84479.4,16200.2,27205.8,206.91,391.65,-61536.4,0.8928519646,0,-68571
"Power Grid Corpn. Of India Ltd.",-13431.8,25815.3,17.9,75418.3,102396.2,16500,8911,-6749.1,33629.8,0,77348.6,135361.2,20000,10715,101.1,133.1,1216.4,0.3165182987,0,-66043.2
"Idea Cellular Ltd.",-12535.8,25627.8,0,15843.3,52224.1,7647.8,0,9108,30543.6,0,17677.7,60921.4,177.1,2737.4,168.95,156.85,-2696.4,-0.07161882214,0,-63783.6
"Larsen & Toubro Ltd.",1749.1,6912,0,396626.5,299514.3,26037.2,18141.3,-4087.6,7201.5,0,384661.2,318351.3,7345.3,14055.1,847.15,1502.9,-40542.2,0.774065986,0,-54945.2
"Union Bank Of India",-44233.1,1464.5,0,201122.2,67125.3,7000,9256.2,5352.5,1509.2,0,207221.2,70806.8,2000,9063.1,133.1,191.25,-50852,0.4368895567,0,-53870.4
