"","pNet cash flow due to net changes in cash and cash equivalents","pDepreciation (net of transfer from revaluation reserves)","pAmortisation","pCurrent assets","pCurrent liabilities","pShort term bank borrowings","pCorporate tax","cNet cash flow due to net changes in cash and cash equivalents","cDepreciation (net of transfer from revaluation reserves)","cAmortisation","cCurrent assets","cCurrent liabilities","cShort term bank borrowings","cCorporate tax","cAdjusted Closing Price ","fAdjusted Closing Price ","nACCRUALS","nReturn","nNET PROFIT","Accrual"
"Oil & Natural Gas Corpn. Ltd.",-69059.8,145510.7,0,394847.8,176878.3,0,86300,-24197.1,175369.3,0,365871.5,194761.3,0,65500,395.35,272.7,-287891.3,-0.3102314405,0,-287891.3
"Indian Oil Corpn. Ltd.",1962.8,52009.9,0,1028782.5,584480.7,220217.2,8476.5,21052.4,57600.9,0,1074342.2,677645,186250,29192.1,331.25,431.35,-137546.7,0.3021886792,0,-137546.7
"Bharti Airtel Ltd.",-269,68267,0,48219,158829,8400,13669,1179,72313,0,51599,190084,12510,21364,372.9,418.8,-89831,0.1230893001,0,-89831
"N T P C Ltd.",7258.7,33967.6,3.7,389928.8,139056.6,172.3,38396.9,-15565.2,41421.9,0,369735.9,173323.6,27.1,32305.6,145.05,135.05,-79294.4,-0.06894174423,0,-79294.4
"Power Grid Corpn. Of India Ltd.",-6749.1,33629.8,0,77348.6,135361.2,20000,10715,27555.5,40051.5,0,114914.6,180242.4,27000,12743,133.1,142,-72643.3,0.06686701728,0,-72643.3
"Coal India Ltd.",4779.6,49.6,0,189199.8,80515.9,0,4600,-6053.3,64.1,0,101778,67124.1,0,3800,367.7,439.05,-64061.2,0.1940440577,0,-64061.2
"Hindustan Petroleum Corpn. Ltd.",-792.5,19835.2,0,356062.1,228320,38032.7,2505.8,-1127.9,22019.4,0,346294.4,243917.4,27440.7,7441.7,399.3,921.65,-52705.2,1.308164288,0,-52705.1999999999
"Ranbaxy Laboratories Ltd. [Merged]",-7151,1861.6,0,62010.6,31621.6,25256.6,0,4222.2,2801.7,0,45112.3,55049.5,27438.7,305.7,578.85,859.8,-52013.3,0.4853589013,0,-52013.3
"Hindustan Zinc Ltd.",2611.3,6470.4,0,91114,10849.4,0,15429.8,-617.3,7845.9,0,52859.3,15851.7,0,16400.5,161.2,157.05,-46903.6,-0.02574441687,0,-46903.6
"Tata Steel Ltd.",-17353.2,16403.8,0,88968,113830.4,0,17705.4,-12301.3,19287,0,79955.2,138533.2,0,30980.2,553.4,246.9,-44779.7,-0.5538489339,0,-44779.7
"Maruti Suzuki India Ltd.",-511,18612,0,55239,54239,1319,7228,-552,20844,0,41834,62784,4842,7479,2524.05,4331.45,-38979,0.7160713932,0,-38979
"Rural Electrification Corpn. Ltd.",-38272.2,37.5,103.7,23146.3,48448.1,5000,13457.9,-2913.2,42.1,0,23801.8,50682.6,0,17046.6,306,271,-38391.4,-0.114379085,0,-38391.4
"Tata Motors Ltd.",-7957.5,18176.2,0,89325.2,117854.8,26323.9,625,-174.4,20703,0,76761.9,125040.9,37963.1,0,442.01,383.85,-37221.3,-0.1315807335,0,-37221.3
"State Bank Of India",164021,11396.1,1000,1571785.3,896722.7,56488.5,59510.6,148129.2,13339.4,1000,1637236.5,935751.3,11214.4,43597.4,243.93,270.05,-33212.3,0.1070799,0,-33212.3000000001
"Reliance Industries Ltd.",99490,94650,0,1046360,495230,1270,52440,-163230,87890,0,906860,641420,73890,58120,1006.45,1001.85,-32560,-0.004570520145,0,-32560
"Adani Power Ltd.",0,10165.9,0,39561.9,36900.4,25133.8,0,22.6,11878.3,0,43645.4,50999.1,15216.4,0,56.6,27.4,-31833.5,-0.5159010601,0,-31833.5
"Steel Authority Of India Ltd.",-531.2,13994,0,268173,131514.8,7311.6,10579.6,-623.2,17129.6,0,260084.2,160504.5,33348.9,6832.6,87.85,56.2,-31825.8,-0.3602731929,0,-31825.8
"N H P C Ltd.",-3879.6,10251.8,0,108314.1,34419.2,0,5874.1,-3121.8,12476.7,0,96333.8,34587.6,0,2516.2,22.85,18.9,-28741.1,-0.1728665208,0,-28741.1
"Punjab National Bank",-16926.5,3185.1,6647.3,343741.7,132233.6,5834.8,17740.9,180830.7,3523.9,6647.3,518260.4,127109.5,10735.4,13479.4,191.35,151,-27646.5,-0.2108701333,0,-27646.4999999999
"Adani Enterprises Ltd.",1224.7,575.5,0,64289.4,45869,5250,1016.4,-711.7,590.7,0,45802.2,57542,8127.4,0,433.8,87.15,-26953.5,-0.7991009682,0,-26953.5
"I D F C Ltd.",398.2,274.5,0,39800.6,21311.2,24439,7815,949,242.9,0,28522.1,26944,15000,8240,152.25,149.9,-26719,-0.01543513957,0,-26719
"Reliance Communications Ltd.",490,30760,0,51840,34130,64710,0,-1010,32250,0,61330,44170,70790,0,135.05,70.5,-25220,-0.4779711218,0,-25220
"Andhra Bank",-22397.2,836.3,1266.6,82514.7,23051,0,5180,30347.3,899.7,936.7,115964.9,24080.9,0,2310,82.3,74.1,-25030.6,-0.09963547995,0,-25030.6
"Idea Cellular Ltd.",9108,30543.6,0,17677.7,60921.4,177.1,2737.4,-9500.5,40932.4,0,16490.8,70926.6,6248,5434.1,156.85,173.35,-24748.4,0.1051960472,0,-24748.4
"Infosys Ltd.",7990,9560,850,307340,22110,0,33550,36650,11010,2280,327970,32070,0,40820,841.91,1077.05,-24010,0.2792935112,0,-24010
"N M D C Ltd.",12079.8,1385.2,34.6,235459.9,12935,0,30875.2,13747.8,1504.1,8.7,215258.3,13679.8,0,33201.1,170.05,101.9,-21801.3,-0.400764481,0,-21801.3
"Vedanta Ltd.",-469.5,1479.1,0,9245.3,5266.2,9123,0,2741.7,15047.9,0,97154.9,100471.1,14963.6,0,290.25,130.25,-19713.8,-0.5512489233,0,-19713.8
"Hindalco Industries Ltd.",-5082.5,6891.6,0,115336.1,55796,14172.5,3814.1,2295.1,8355.6,0,121877.5,74638.8,23306.2,3147.2,191.7,105.2,-19567.8,-0.4512258738,0,-19567.8
"Jindal Steel & Power Ltd.",101.3,10484.6,0,56694.5,28038.3,47705.2,4888,7081.2,12329.5,0,67161.9,40854.5,51910.7,3082,274.8,79,-19258.7,-0.7125181951,0,-19258.7
"Ultratech Cement Ltd.",-469.2,9339.2,0,35174.3,37903.9,5594.5,10056.5,1348.4,10349.2,0,39441.8,41883.9,3714.9,5588.2,2420.85,3149.15,-18227.2,0.3008447446,0,-18227.2
"Cairn India Ltd.",-825.1,10031.9,0,17232.9,9620.8,0,13362.7,181.1,12389.2,0,20658.9,17048.6,0,14127,315.25,172.95,-16632.9,-0.4513877875,0,-16632.9
"Aditya Birla Nuvo Ltd.",-3136.3,2191.8,0,44494.1,20274.8,19888.9,1163.8,-164.1,1990.2,0,33031.9,18283.6,17382.2,1609,1476.3,2199.7,-16494.9,0.4900088058,0,-16494.9
"J S W Steel Ltd.",-4025.9,19738.9,0,85814.8,129354.1,2666.1,5014,2204.3,27258.8,0,97096.3,146066.2,29206.6,4098,1180.35,831.45,-13295.1,-0.295590291,0,-13295.1
"I D B I Bank Ltd.",-1331.3,1241.2,0,215682.2,55131.1,8141,15185.1,-11066.1,1131.7,0,203275.2,62456.4,9767,11694.5,89.15,65.75,-12993.8,-0.262478968,0,-12993.8
